"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"METHODS AND SYSTEMS FOR VIEWING DYNAMICALLY CUSTOMIZED ADVERTISING CONTENT","US2014040039 (A1)","2014-02-06","GATES III WILLIAM H [US];  GERRITY DANIEL A [US];  HOLMAN PAUL [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  KARE JORDIN T [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  LORD RICHARD T [US];  MALAMUD MARK A [US];  MYHRVOLD NATHAN P [US];  RINALDO JR JOHN D [US];  ROSEMA KEITH D [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","CORP OF THE STATE OF DELAWARE ELWHA LLC A LTD LIABILITY [US];  ELWHA LLC A LTD LIABILITY CORP STATE DELAWARE [US]","G06Q30/02","G06Q30/0269","US201213720727","20121219","US201213720727 20121219; US201213714195 20121213; US201213708632 20121207; US201213689488 20121129; US201213602058 20120831; US201213566723 20120803","US2002120931 (A1); US2003051256 (A1); US2007099684 (A1); US2009119704 (A1); US2010125544 (A1); US2013091243 (A1); US2009222853 (A1); US2010257551 (A1); US2012072936 (A1); US8725559 (B1); US2011010231 (A1); US2014195345 (A1); US2013283162 (A1); US2009089249 (A1); US2008168489 (A1); US2009118016 (A1); US2006064717 (A1); US2012159327 (A1); US8725559 (B1); US2013091243 (A1); US2011010231 (A1); US2009222853 (A1); US2012072936 (A1); US2010125544 (A1); US2007099684 (A1); US2003051256 (A1); US2002120931 (A1); US2010257551 (A1); US2009119704 (A1); US2014195345 (A1)","","","","","","","","","","","","",""
"DYNAMIC CUSTOMIZATION OF ADVERTISING CONTENT","US2014039991 (A1)","2014-02-06","GATES III WILLIAM H [US];  GERRITY DANIEL A [US];  HOLMAN PAUL [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  KARE JORDIN T [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  LORD RICHARD T [US];  MALAMUD MARK A [US];  MYHRVOLD NATHAN P [US];  RINALDO JR JOHN D [US];  ROSEMA KEITH D [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","OF THE STATE OF DELAWARE ELWHA LLC A LTD LIABITITY CORP [US];  ELWHA LLC A LTD LIABITITY CORP OF THE STATE OF DELAWARE [US]","G06Q30/02","G06Q30/0241; G06Q30/0269","US201213714195","20121213","US201213566723 20120803; US201213602058 20120831; US201213689488 20121129; US201213708632 20121207; US201213714195 20121213","US2006037037 (A1); US2007122786 (A1); US2007214473 (A1); US2010088406 (A1); US2013132999 (A1); US2013205332 (A1); US2006037037 (A1); US2009254931 (A1); US2010088406 (A1); US2013132999 (A1)","","","","","","","","","","","","",""
"Dynamic Customization and Monetization of Audio-Visual Content","US10455284 (B2); US2014068661 (A1)","2014-03-06","GATES III WILLIAM H [US];  GERRITY DANIEL A [US];  HOLMAN PAUL [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  KARE JORDIN T [US];  LEVIEN ROYCE A [US];  LORD RICHARD T [US];  LORD ROBERT W [US];  MALAMUD MARK A [US];  MYHRVOLD NATHAN P [US];  RINALDO JR JOHN D [US];  ROSEMA KEITH D [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","GATES III WILLIAM H [US];  GERRITY DANIEL A [US];  HOLMAN PAUL [US];  HYDE RODERICK A [US];  JUNG EDWARD K Y [US];  KARE JORDIN T [US];  LEVIEN ROYCE A [US];  LORD RICHARD T [US];  LORD ROBERT W [US];  MALAMUD MARK A [US];  MYHRVOLD NATHAN P [US];  RINALDO JR JOHN D [US];  ROSEMA KEITH D [US];  TEGREENE CLARENCE T [US];  WOOD JR LOWELL L [US]","H04N21/458","H04N21/2668; H04N21/44016; H04N21/441; H04N21/44218; H04N21/44226; H04N21/4524; H04N21/4532; H04N21/4542; H04N21/458; H04N21/6582","US201213602058","20120831","US201213602058 20120831","US2012135684 (A1); US2009187944 (A1); US2012060176 (A1); US2009048914 (A1); US2007005795 (A1); US2011066730 (A1); US2009254931 (A1); US2013046637 (A1); US2010094841 (A1); US2012094768 (A1); US2010083306 (A1); US2009172022 (A1); US2010202750 (A1); US8726312 (B1); US2013298180 (A1); US2013055087 (A1); US2011106744 (A1); US2009083814 (A1); US2013067052 (A1); US2012110027 (A1); US2012157197 (A1); US2011125777 (A1); US2007122786 (A1); US2010188579 (A1); US2012223952 (A1); US2005125718 (A1); US2009254931 (A1); US2008109843 (A1); US2009172022 (A1); US8726312 (B1); US2010094841 (A1); US2013298180 (A1); US2013055087 (A1); US2005125718 (A1); US2011106744 (A1); US2009083814 (A1); US2011200303 (A1); US2006116965 (A1); US2012157197 (A1); US2011125777 (A1); US2012110027 (A1); US2013067052 (A1); US2010202750 (A1); US8726312 (B1); US2005125718 (A1); US2006116965 (A1); US2007005795 (A1); US2007122786 (A1); US2007294740 (A1); US2008109843 (A1); US2009048914 (A1); US2009083814 (A1); US2009172022 (A1); US2009187944 (A1); US2009210902 (A1); US2009254931 (A1); US2010083306 (A1); US2010094841 (A1); US2010188579 (A1); US2010202750 (A1); US2011064388 (A1); US2011066730 (A1); US2011106744 (A1); US2011125777 (A1); US2012060176 (A1); US2012072944 (A1); US2012094768 (A1); US2012110027 (A1); US2012135684 (A1); US2012157197 (A1); US2012223952 (A1); US2013046637 (A1); US2013055087 (A1); US2013067052 (A1); US2013298180 (A1)","","","","","","","","US4260229 (A); US4569026 (A); US4600281 (A); US4827532 (A); US4884972 (A); US5111409 (A); US5623587 (A); US5926575 (A); US6054999 (A); US6317593 (B1); US7020888 (B2); US7109993 (B2); US7631327 (B2); US7865567 (B1); US7945926 (B2); US8016653 (B2); US8059201 (B2); US8650591 (B2); US8725559 (B1); US9965768 (B1); US2002029384 (A1); US2002063714 (A1); US2002075318 (A1); US2002077900 (A1); US2002120931 (A1); US2002133397 (A1); US2003051256 (A1); US2003163371 (A1); US2004181592 (A1); US2005138656 (A1); US2006010240 (A1); US2006037037 (A1); US2006064717 (A1); US2006074550 (A1); US2006174264 (A1); US2007099684 (A1); US2007155307 (A1); US2007162951 (A1); US2007165022 (A1); US2007214473 (A1); US2007244750 (A1); US2007271580 (A1); US2007288978 (A1); US2008028422 (A1); US2008065468 (A1); US2008126193 (A1); US2008168489 (A1); US2008215436 (A1); US2008250468 (A1); US2008266324 (A1); US2008320545 (A1); US2009089249 (A1); US2009118016 (A1); US2009119704 (A1); US2009138332 (A1); US2009138805 (A1); US2009144772 (A1); US2009222853 (A1); US2009249409 (A1); US2009265214 (A1); US2009282093 (A1); US2010077314 (A1); US2010088406 (A1); US2010125544 (A1); US2010257551 (A1); US2011010231 (A1); US2011029099 (A1); US2011122094 (A1); US2011200303 (A1); US2011211094 (A1); US2011271301 (A1); US2011321075 (A1); US2011321082 (A1); US2012005595 (A1); US2012030699 (A1); US2012072936 (A1); US2012072940 (A1); US2012089908 (A1); US2012112877 (A1); US2012124456 (A1); US2012124604 (A1); US2012159327 (A1); US2012246223 (A1); US2012304206 (A1); US2012317593 (A1); US2012324493 (A1); US2012327172 (A1); US2013006754 (A1); US2013014145 (A1); US2013024282 (A1); US2013085805 (A1); US2013091243 (A1); US2013132999 (A1); US2013145240 (A1); US2013160051 (A1); US2013205332 (A1); US2013219417 (A1); US2013283162 (A1); US2013290233 (A1); US2013312018 (A1); US2014007148 (A1); US2014036152 (A1); US2014136318 (A1); US2014195345 (A1); US2014223464 (A1)","","","","",""
"TIME-VARYING FIELD EMISSION DEVICE","US2014070696 (A1); US8970113 (B2)","2014-03-13","CHEATHAM III JESSE R [US];  ECKHOFF PHILIP ANDREW [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  TEGREENE CLARENCE T [US];  TUCKERMAN DAVID B [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US];  ELWHA LLC [US]","H01J29/02","H01J29/02; H01J29/481; H01J45/00","US201313790613","20130308","US201161631270P 20111229; US201113374545 20111230; US201261638986P 20120426; US201313790613 20130308","US6249080 (B1); US6538367 (B1); US2005057168 (A1); US7462979 (B2); US7710013 (B2); US7825591 (B2); US6249080 (B1); US6538367 (B1); US2005057168 (A1); US7462979 (B2); US7710013 (B2); US7825591 (B2)","","","","","","","","US2404919 (A); US2489850 (A); US2744960 (A); US2798963 (A); US4274035 (A); US4427886 (A); US5177402 (A); US5272411 (A); US5371371 (A); US5386172 (A); US5548138 (A); US5578901 (A); US5606215 (A); US5631524 (A); US5717279 (A); US5834781 (A); US5838096 (A); US5850120 (A); US5908699 (A); US5936348 (A); US5936354 (A); US5942834 (A); US5982095 (A); US6031336 (A); US6104143 (A); EP1063197 (A2); US6205790 (B1); US6313587 (B1); US2002036452 (A1); US6404089 (B1); US2003001490 (A1); US2003124944 (A1); US6590320 (B1); US2003132393 (A1); US6632113 (B1); US2004004588 (A1); US2004036402 (A1); US2004118347 (A1); US2004226914 (A1); US2004238809 (A1); US2005001598 (A1); US2005016575 (A1); US2005151461 (A1); US6949887 (B2); US7061188 (B1); US2006261724 (A1); US2006273301 (A1); US2006284539 (A1); US7157849 (B2); US2007023621 (A1); US2007046163 (A1); US2007158588 (A1); US2008001513 (A1); US2008017237 (A1); US2008100235 (A1); US2009011706 (A1); US2009146583 (A1); US2009194870 (A1); US2009303654 (A1); US2010019648 (A1); US2010026160 (A1); US2010090579 (A1); US2010102325 (A1); US2010108882 (A1); US7741764 (B1); US7750462 (B1); US2010271003 (A1); US2010295486 (A1); US2010329964 (A1); US2011037400 (A1); US7903789 (B2); US2011088954 (A1); US2011147761 (A1); US8018169 (B2); US2012041370 (A1); US2013168635 (A1)","","","","",""
"MATERIALS AND CONFIGURATIONS OF A FIELD EMISSION DEVICE","US2014159590 (A1); US8969848 (B2)","2014-06-12","CHEATHAM III JESSE R [US];  ECKHOFF PHILIP ANDREW [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  TEGREENE CLARENCE T [US];  TUCKERMAN DAVID B [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","H01J19/38","B82Y10/00; H01J19/38; H01J29/02; H01J29/481; H01J45/00","US201414177796","20140211","US201161631270P 20111229; US201113374545 20111230; US201261638986P 20120426; US201213545504 20120710; US201213587762 20120816","US8575842 (B2); US2013313980 (A1); US8692226 (B2); US8810131 (B2); US8810161 (B2); US8575842 (B2); US2013313980 (A1); US8692226 (B2); US8810131 (B2); US8810161 (B2)","","","","","","","","US2404919 (A); US2489850 (A); US2744960 (A); US2798963 (A); US4274035 (A); US4427886 (A); US5177402 (A); US5272411 (A); US5371371 (A); US5386172 (A); US5548138 (A); US5578901 (A); US5606215 (A); US5631524 (A); US5717279 (A); US5834781 (A); US5838096 (A); US5850120 (A); US5908699 (A); US5936348 (A); US5936354 (A); US5942834 (A); US5982095 (A); US6031336 (A); US6104143 (A); EP1063197 (A2); US6205790 (B1); US6249080 (B1); US6313587 (B1); US2002036452 (A1); US6373175 (B1); US6404089 (B1); US2003001490 (A1); US6538367 (B1); US2003124944 (A1); US6590320 (B1); US2003132393 (A1); US6632113 (B1); US2004004588 (A1); US2004036402 (A1); US2004050415 (A1); US2004118347 (A1); US2004226914 (A1); US2004238809 (A1); US2005001598 (A1); US2005016575 (A1); US2005057168 (A1); US2005151461 (A1); US6949887 (B2); US7061188 (B1); US2006139207 (A1); US2006261724 (A1); US2006273301 (A1); US2006284539 (A1); US7157849 (B2); US2007023621 (A1); US2007046163 (A1); US2007158588 (A1); US2008001513 (A1); US2008017237 (A1); US2008100235 (A1); US7462979 (B2); US2009011706 (A1); US2009146583 (A1); US2009194870 (A1); US2009303654 (A1); US2010019648 (A1); US2010026160 (A1); US2010090579 (A1); US2010102325 (A1); US7710013 (B2); US2010108882 (A1); US7741764 (B1); US7750462 (B1); US2010271003 (A1); US7825591 (B2); US2010295486 (A1); US2010329964 (A1); US2011037400 (A1); US7903789 (B2); US2011088954 (A1); US2011147761 (A1); US2011186805 (A1); US2011201201 (A1); US8018169 (B2); US2012041370 (A1); US2013168635 (A1)","","","","",""
"ANODE WITH SUPPRESSOR GRID","KR101988069 (B1); KR20140116181 (A)","2014-10-01","CHEATHAM JESSE R III [US];  ECKHOFF PHILIP ANDREW [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  TEGREENE CLARENCE T [US];  TUCKERMAN DAVID B [US];  WHITMER CHARLES [US];  WOOD LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","H01J1/02","H01J1/48; H01J3/021; H01J3/022; H01J19/38; H01J21/105; H01J45/00; B82Y30/00; H01L2924/0002; H01L2924/0002; H01L2924/00","KR20147021370","20121227","US201161631270P 20111229; US201113374545 20111230; US201261638986P 20120426; US201213545504 20120710; US201213587762 20120816; US201213612129 20120912; US201213666759 20121101; WO2012US71849 20121227","KR100266517B (B1); JP2009187684 (A)","","","","","","","","","","","","",""
"Tactile feedback generated by phase conjugation of ultrasound surface acoustic waves","US8884927 (B1)","2014-11-11","CHEATHAM III JESSE R [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","G06F3/043","G06F3/016; G06F3/0436; G06F2203/014","US201313929488","20130627","US201313929488 20130627","US2010026667 (A1); US2012274610 (A1); US2013127755 (A1)","","","","","","","","US5235982 (A); US6330827 (B1); US2007024593 (A1); US7292151 (B2); US7492268 (B2); US2009284485 (A1); US2010231550 (A1); US2011090070 (A1); US2011199342 (A1); US2011260988 (A1); US2012274609 (A1); US2013113760 (A1)","","","","",""
"FIELD EMISSION DEVICE WITH AC OUTPUT","US2014333213 (A1); US9349562 (B2)","2014-11-13","CHEATHAM III JESSE R [US];  ECKHOFF PHILIP ANDREW [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  TEGREENE CLARENCE T [US];  TUCKERMAN DAVID B [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","H01J29/74; H01J19/38","H01J29/02; H01J29/481; B82Y99/00; H01J45/00","US201414341491","20140725","US201414341491 20140725; US201313860274 20130410; US201113374545 20111230; US201261638986P 20120426; US201161631270P 20111229","US2009146583 (A1); US2009194870 (A1); US2009146583 (A1); US2009194870 (A1)","","","","","","","","US2404919 (A); US2489850 (A); US2744960 (A); US2798963 (A); US3254244 (A); US4274035 (A); US4427886 (A); US4721885 (A); US5177402 (A); US5272411 (A); US5371371 (A); US5376184 (A); US5386172 (A); US5548138 (A); US5578901 (A); US5606215 (A); US5631524 (A); US5717279 (A); US5834781 (A); US5838096 (A); US5850120 (A); US5908699 (A); US5936348 (A); US5936354 (A); US5942834 (A); US5982095 (A); US6031336 (A); US6104143 (A); US6205790 (B1); US6249080 (B1); US6313587 (B1); US6346931 (B1); US6373175 (B1); US6404089 (B1); US6538367 (B1); US6590320 (B1); US6621096 (B2); US6632113 (B1); US6949887 (B2); US7061188 (B1); US7122967 (B2); US7157849 (B2); US7173366 (B2); US7268480 (B2); US7462979 (B2); US7710013 (B2); US7741764 (B1); US7750462 (B1); US7825591 (B2); US7903789 (B2); US8018169 (B2); US8089206 (B2); US8089579 (B1); US8674300 (B2); US2002036452 (A1); US2003001490 (A1); US2003124944 (A1); US2003132393 (A1); US2004004588 (A1); US2004036402 (A1); US2004050415 (A1); US2004118347 (A1); US2004226914 (A1); US2004238809 (A1); US2005001598 (A1); US2005016575 (A1); US2005057168 (A1); US2005151461 (A1); US2005248256 (A1); US2006139207 (A1); US2006261724 (A1); US2006273301 (A1); US2006284539 (A1); US2007023621 (A1); US2007046163 (A1); US2007158588 (A1); US2008001513 (A1); US2008017237 (A1); US2008100235 (A1); US2009011706 (A1); US2009115305 (A1); US2009303654 (A1); US2010019648 (A1); US2010026160 (A1); US2010066245 (A1); US2010090579 (A1); US2010102325 (A1); US2010108882 (A1); US2010271003 (A1); US2010283436 (A1); US2010295486 (A1); US2010329964 (A1); US2011037400 (A1); US2011088954 (A1); US2011139203 (A1); US2011147761 (A1); US2011186805 (A1); US2011192976 (A1); US2011201201 (A1)","","","","",""
"TACTILE FEEDBACK IN A TWO OR THREE DIMENSIONAL AIRSPACE","US2015003204 (A1)","2015-01-01","CHEATHAM III JESSE R [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PAN TONY S [US];  PETROSKI ROBERT C [US];  WOOD JR LOWELL L [US];  WOOD VICTORIA Y H [US]","ELWHA LLC [US]","G01S15/02","G06F3/016; G06F3/0436; G06F2203/014","US201313929543","20130627","US201313929543 20130627","US2010302015 (A1); US2007055157 (A1); US8499257 (B2); US2013051178 (A1); US2013127755 (A1); US6552722 (B1); US2014094719 (A1); US7993273 (B2); US8951197 (B2); US2012123684 (A1); US6398734 (B1); US2008160019 (A1); US7346203 (B2); US4811725 (A); US2011199342 (A1); US2011036170 (A1); WO2013057649 (A1); US8970484 (B2); US2015081110 (A1)","","","","","","","","","","","","",""
"REWARDING INFLUENCERS","US2015025953 (A1)","2015-01-22","FLAKE GARY W [US];  GATES III WILLIAM H [US];  GOUNARES ALEXANDER G [US];  HILLIS W DANIEL [US];  LEVIEN ROYCE A [US];  LORD ROBERT W [US];  MALAMUD MARK A [US];  MUNDIE CRAIG J [US];  PAYNE CHRISTOPHER D [US];  RASHID RICHARD F [US];  TEGREENE CLARENCE T [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","SEARETE LLC [US]","G06Q30/02; H04L29/08","G06Q30/0214; H04L67/53; H04L67/535; H04L63/0428","US201414447470","20140730","US20100660752 20100302; US201414447470 20140730","US7542943 (B2)","","","","","","","","","","","","",""
"SYSTEMS AND METHODS FOR DETECTING OVERHEAD LINE MOTION","US2015075282 (A1); US9488670 (B2)","2015-03-19","CHAN ALISTAIR K [US];  CHEATHAM III JESSE R [US];  DEANE GEOFFREY F [US];  GATES WILLIAM [US];  HYDE RODERICK A [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  PETROSKI ROBERT C [US];  TEGREENE CLARENCE T [US];  TUCKERMAN DAVID B [US];  WHITMER CHARLES [US];  WOOD JR LOWELL L [US]","ELWHA LLC [US]","G01H17/00; G01P15/00","G01B21/02; G01B21/16; G01H17/00; G01P15/00; H02G7/14; H02G7/18","US201414553449","20141125","US201213675726 20121113; US201414553449 20141125","US6205867 (B1); US2012278011 (A1); US2014021327 (A1); US6205867 (B1); US2012278011 (A1); US2014021327 (A1)","","","","","","","","US4728887 (A); US6523424 (B1); US2006060007 (A1); US2006125469 (A1); US2006195307 (A1); US7369045 (B2); US2008297162 (A1); US2009243876 (A1); US7733094 (B2); US2011101783 (A1); US2011238374 (A1); US2012029871 (A1); US2012046799 (A1)","","","","",""
"Field emission device with AC output","CN104823527 (A); CN104823527 (B)","2015-08-05","CHEATHAM JESSE R III;  ECKHOFF PHILIP ANDREW;  GATES WILLIAM;  HYDE RODERICK A;  ISHIKAWA MURIEL Y;  KARE JORDIN T;  MYHRVOLD NATHAN P;  PAN TONY S;  PETROSKI ROBERT C;  TEGREENE CLARENCE T;  TUCKERMAN DAVID B;  WHITMER CHARLES;  WOOD JR LOWELL L;  WOOD VICTORIA Y H","ELWHA LLC","H05B41/00","H01J27/26; H01J29/481","CN20138015575","20130425","WO2013US38254 20130425; US201313790613 20130308; US201213545504 20120710; US201213587762 20120816; US201213666759 20121101; US201313774893 20130222; US201261638986P 20120426; US201313860274 20130410","CN1335999 (A); CN1707749 (A); US2009303654 (A1); US2011037400 (A1); US5850120 (A)","","","","","","","","","","","","",""
"Unified Presentation Of Contextually Connected Information To Improve User Efficiency And Interaction Performance","US10691292 (B2); US2015242091 (A1)","2015-08-27","LU QI [US];  CONNELL DERRICK LESLIE [US];  SHAKIB DARREN [US];  GATES III WILLIAM H [US]","MICROSOFT TECHNOLOGY LICENSING LLC [US]","G06F3/0481; G06F3/0484; G06F3/0485","G06F3/04817; G06F3/04842; G06F3/0485; G06F16/435; G06F16/487; G06F16/489; G06Q10/10; G06Q30/0241; G06F9/451","US201514629214","20150223","US201461944033P 20140224; US201514629214 20150223","US5715415 (A); US2006075353 (A1); US2007130170 (A1); US2007136245 (A1); US2007266342 (A1); US2010131523 (A1); US2010293056 (A1); US2012185456 (A1); US2012331418 (A1); US2013014040 (A1); US2014108621 (A1); US5715415 (A); US2006075353 (A1); US2006190833 (A1); US2007011149 (A1); US2007067737 (A1); US2007130170 (A1); US2007136245 (A1); US2007266342 (A1); US2010131523 (A1); US2010293056 (A1); US2012151310 (A1); US2012185456 (A1); US2012331418 (A1); US2013014040 (A1); WO2013169845 (A1); US2014108621 (A1); US5715415 (A); US2006075353 (A1); US2006190833 (A1); US2007011149 (A1); US2007067737 (A1); US2007130170 (A1); US2007136245 (A1); US2007266342 (A1); US2010131523 (A1); US2010293056 (A1); US2012151310 (A1); US2012185456 (A1); US2012331418 (A1); US2013014040 (A1); WO2013169845 (A1); US2014108621 (A1)","","","","","","","","US6563514 (B1); US2003107596 (A1); US2007300185 (A1); US2009055739 (A1); US2011209159 (A1); US8086604 (B2); US2012011477 (A1); US2012084214 (A1); US2012084215 (A1); EP2439688 (A1); CN102591657 (A); CN102592185 (A); US2012239663 (A1); US2012296919 (A1); US2013307764 (A1); US8621011 (B2)","","","","",""
"ABILITY ENHANCEMENT","US10875525 (B2); US2015336578 (A1)","2015-11-26","LORD RICHARD T [US];  LORD ROBERT W [US];  MYHRVOLD NATHAN P [US];  TEGREENE CLARENCE T [US];  HYDE RODERICK A [US];  WOOD JR LOWELL L [US];  ISHIKAWA MURIEL Y [US];  WOOD VICTORIA Y H [US];  WHITMER CHARLES [US];  BAHL PARAMVIR [US];  BURGER DOUGLAS C [US];  CHANDRA RANVEER [US];  GATES III WILLIAM H [US];  HOLMAN PAUL [US];  KARE JORDIN T [US];  MUNDIE CRAIG J [US];  PAEK TIM [US];  TAN DESNEY S [US];  ZHONG LIN [US];  DYOR MATTHEW G [US]","ELWHA LLC [US]","B60W30/09","B60T7/22; B60T17/22; B60W30/09; G08G1/164; B60T2201/022; B60T2210/36; B60W2555/00","US201514819237","20150805","US201113309248 20111201; US201113324232 20111213; US201113340143 20111229; US201213356419 20120123; US201213362823 20120131; US201213397289 20120215; US201213407570 20120228; US201213425210 20120320; US201213434475 20120329; US201514819237 20150805","US5983161 (A); US6370475 (B1); US7009500 (B2); US2008119993 (A1); US5983161 (A); US6370475 (B1); US7009500 (B2); US2008119993 (A1)","","","","","","","","US5239586 (A); US5515026 (A); US5995898 (A); US6157727 (A); US6226389 (B1); US6304648 (B1); US6326903 (B1); US2002021799 (A1); US6466862 (B1); US2002196134 (A1); US2003009277 (A1); US6529866 (B1); US2003139881 (A1); US2003158900 (A1); US6628767 (B1); US2004064322 (A1); US6731202 (B1); US2004100868 (A1); US2004122678 (A1); US2004172252 (A1); US2004230651 (A1); US2004263610 (A1); US2005010407 (A1); US2005018828 (A1); US2005038648 (A1); US2005041529 (A1); US2005088981 (A1); US2005135583 (A1); US6944474 (B2); US2005207554 (A1); US2005222769 (A1); US2006080004 (A1); US2006195850 (A1); US2007118498 (A1); US7224981 (B2); US2007138347 (A1); US7324015 (B1); US2008061958 (A1); US2008117838 (A1); US2008195387 (A1); US2008270132 (A1); US2008300777 (A1); US2009040037 (A1); US2009070102 (A1); US2009119324 (A1); US2009198735 (A1); US2009204620 (A1); US7606444 (B1); US2009271176 (A1); US2009281789 (A1); US2009282103 (A1); US2009306957 (A1); US2009307616 (A1); US2010022098 (A1); US2010040217 (A1); US2010135478 (A1); US2010153497 (A1); US2010185434 (A1); US7783022 (B1); US2010222098 (A1); US2010315218 (A1); US2011010041 (A1); US2011153324 (A1); US2011184721 (A1); US2011196580 (A1); US2011216928 (A1); US2011237295 (A1); US8050917 (B2); US2011270922 (A1); US2011298603 (A1); US2011307241 (A1); US2012010886 (A1); US2012025965 (A1); US2012046833 (A1); US2012069131 (A1); US2012072109 (A1); US2012075407 (A1); US8175297 (B1); US2012197629 (A1); US2012323575 (A1); US8352245 (B1); US2013021950 (A1); US2013022189 (A1); US8369184 (B2); US2013057691 (A1); US2013058471 (A1); US2013063542 (A1); US2013103399 (A1); US2013124073 (A1); US2013141576 (A1); US2013204616 (A1); US8618952 (B2); US2014055242 (A1); US8669854 (B2)","","","","",""
"ELECTROMAGNETIC ENGINE","EP2952677 (A1)","2015-12-09","HYDE RODERICK [US];  GATES III WILLIAM [US];  ISHIKAWA MURIEL Y [US];  KARE JORDIN T [US];  MYHRVOLD NATHAN P [US];  TEGREENE CARENCE T [US];  WEAVER THOMAS A [US];  WHITMER CHARLES [US];  WOOD LOWELL I JR [US];  WOOD VICTORIA Y H [US]","SEARETE LLC [US]","F01B7/00; F01B11/00; F01B23/10; F02B63/04; F02G1/04; H02K7/18","F01B11/00; F01B11/004; F01B11/007; F01B11/04; F01B23/10; F02B71/04; H02K7/1884; F02B63/04","EP20150173413","20081003","US20070973297 20071004; US20070973343 20071005; US20070973640 20071009; US20070974173 20071010; EP20130185987 20081003; EP20080835918 20081003","GB2219671 (A); US2005081804 (A1); US1213611 (A); WO8604747 (A1); JPH1127923 (A)","","","","","","","","US4104995 (A); US4112826 (A); US4182288 (A); US4270495 (A); US4517931 (A); US6779495 (B2); US7185615 (B2); US4399499 (A); US6590360 (B2)","","","","",""
